series,episode,baker_name,technical,result,signature_bake,show_stopper,baker_age,hometown,baker_occupation
1,1,Edd Kimber,1,IN,Caramel Cinnamon and Banana Cake,N/A,24,Bradford,Debt collector for Yorkshire Bank
1,1,Annetha Mills,2,IN,Light Jamaican Black Cakewith Strawberries and Cream,"Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream",30,Essex,Midwife
1,1,David Chambers,3,IN,Chocolate Orange Cake,"Black Forest Floor Gateauxwith Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs",31,Milton Keynes,Entrepreneur
1,1,Miranda Browne,8,IN,"Triple Layered Brownie Meringue Cake
with Raspberry Cream",Three Tiered Chocolate Fudge Cake  with Handmade Chocolate Button Decorations,37,"Midhurst, West Sussex",Food buyer for Marks & Spencer
1,1,Jonathan Shepherd,9,IN,Carrot Cake with Lime and Cream Cheese Icing,Three Tiered White and Dark Chocolate with Almond and Cherry,25,St Albans,Research Analyst
1,1,Lea Harris,10,OUT,Cranberry and Pistachio Cakewith Orange Flower Water Icing,Raspberries and Cream filled Chocolatewith Chocolate-dipped Fresh Fruit,51,"Midlothian, Scotland",Retired
1,1,Jasminder Randhawa,NA,IN,Fresh Mango and Passion Fruit Hummingbird Cake,N/A,45,Birmingham,Assistant Credit Control Manager
1,1,Louise Brimelow,NA,IN,Carrot and Orange Cake,"Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border",44,Manchester,Police Officer
1,1,Ruth Clemens,NA,IN,Three Tiered Lemon Drizzle Cakewith Fresh Cream and freshly made Lemon Curd,Classic Chocolate Sponge wrapped in a Chocolate Collartopped with Handmade White and Dark Chocolate Truffles,31,"Poynton, Cheshire",Retail manager/Housewife
1,1,Mark Whithers,NA,OUT,Sticky Marmalade Tea Loaf,Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.,48,South Wales,Bus Driver
1,2,Jonathan Shepherd,1,IN,Honey and Candied Ginger Cookies,Meringues with Whiskey Cream,25,St Albans,Research Analyst
1,2,Jasminder Randhawa,2,IN,Millionaires' Shortbread,Meringues with Chocolate and Space DustCoffee flavoured Eclairs,45,Birmingham,Assistant Credit Control Manager
1,2,Miranda Browne,3,IN,Fresh Vanilla Biscuits with Royal Icing,Pistachio Macarons,37,"Midhurst, West Sussex",Food buyer for Marks & Spencer
1,2,Louise Brimelow,4,OUT,Stained Glass Window Shortbread,"Strawberry, Mint, and Cream Meringues  Chocolate Eclairs / Orange, Yellow and Pink Macarons",44,Manchester,Police Officer
1,2,Ruth Clemens,5,IN,Peanut Shortbread withSalted Peanut Caramel,Almond Macaron with Violet ButtercreamRaspberries and Cream Eclairs,31,"Poynton, Cheshire",Retail manager/Housewife
